app,func,end_timestamp,duration,start_timestamp,fragments
11,4,1117679.5876541138,30.033,1117649.5546541137,24
11,4,1117679.8063430786,30.043,1117649.7633430785,24
11,4,1117679.8063430786,30.043,1117649.7633430785,24
13,4,1117679.8250410557,30.021,1117649.8040410557,24
13,4,1117679.8250410557,30.021,1117649.8040410557,24
13,4,1117679.935343027,30.026,1117649.909343027,24
13,4,1117679.935343027,30.009,1117649.926343027,24
13,4,1117680.4786260128,30.04,1117650.4386260128,24
13,4,1117680.4786260128,30.04,1117650.4386260128,24
11,4,1117680.8064229488,30.033,1117650.7734229488,24
11,4,1117680.8064229488,30.033,1117650.7734229488,24
11,4,1117680.9512810707,30.14,1117650.8112810708,24
13,4,1117680.8502850533,30.036,1117650.8142850532,24
13,4,1117680.8502850533,30.036,1117650.8142850532,24
11,4,1117680.9512810707,30.124,1117650.8272810706,24
13,4,1117680.977150917,30.117,1117650.860150917,24
13,4,1117680.977150917,30.117,1117650.860150917,24
11,4,1117680.9269149303,30.024,1117650.9029149304,24
11,4,1117680.9269149303,30.024,1117650.9029149304,24
13,4,1117681.2690839767,30.044,1117651.2250839768,24
13,4,1117681.2690839767,30.044,1117651.2250839768,24
11,4,1117681.447040081,30.033,1117651.414040081,24
11,4,1117681.447040081,30.033,1117651.414040081,24
11,4,1117681.5725409985,30.018,1117651.5545409985,24
11,4,1117681.5725409985,30.018,1117651.5545409985,24
